glass_name,glass_price,glass_link,photos_link
Water,$29.95,https://www.glassesshop.com/eyeglasses/fp2468,"['https://res.glassesshop.com/products/202111/617fad01dd332.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fad01dd332.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fad0352d3d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fad04a2c47.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fad061b56d.jpg?im=Resize,width=1000,height=500']"
Isaac,$29.95,https://www.glassesshop.com/eyeglasses/ft0680,"['https://res.glassesshop.com/products/202307/64a7c68db758a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a7c68db758a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a7c68e8b4ac.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a7c68f5187b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a7c690051d0.jpg?im=Resize,width=1000,height=500']"
Katherine,$26.95,https://www.glassesshop.com/eyeglasses/fp2607,"['https://res.glassesshop.com/products/202207/62cbdc04eb9b3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202207/62cbdc04eb9b3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202207/62cbdc06641b1.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202207/62cbdc07e49b5.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202207/62cbdc0943d23.jpg?im=Resize,width=1000,height=500']"
Altus,$26.95,https://www.glassesshop.com/eyeglasses/fp2643,"['https://res.glassesshop.com/products/202209/63291f30265b7.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291f30265b7.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291f31c1051.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291f334e2d0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291f349c701.jpg?im=Resize,width=1000,height=500']"
Taurus,$26.95,https://www.glassesshop.com/eyeglasses/fp2071,"['https://res.glassesshop.com/products/202107/60f4cf20d328f.jpg?im=Resize,width=1000,height=500', 'https://d22qih3asjv3x0.cloudfront.net/products/media/fp2071/fp2071-cover.jpg', 'https://res.glassesshop.com/products/202107/60f4cf20d328f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf222f097.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf239f1ce.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf24c3d0c.jpg?im=Resize,width=1000,height=500', 'https://d22qih3asjv3x0.cloudfront.net/products/media/fp2071/fp2071-cover.jpg']"
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2035,"['https://res.glassesshop.com/products/201911/5dbfed02cae13.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201911/5dbfed02cae13.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201911/5dbfed0443ba6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201911/5dbfed059ce22.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201911/5dbfed06dd37b.jpg?im=Resize,width=1000,height=500']"
Elizabeth,$7.99,https://www.glassesshop.com/eyeglasses/grm0004,"['https://res.glassesshop.com/products/202305/645331d01f1ff.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202305/645331d01f1ff.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202305/645331d0dc992.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202305/645331d1a1a85.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202305/645331d26af1c.jpg?im=Resize,width=1000,height=500']"
Daniel,$44.95,https://www.glassesshop.com/eyeglasses/ft0658,"['https://res.glassesshop.com/products/202304/6434c04406075.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202304/6434c04406075.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202304/6434c044b136f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202304/6434c04573c3b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202304/6434c046214d8.jpg?im=Resize,width=1000,height=500']"
Haywood,$29.95,https://www.glassesshop.com/eyeglasses/fm1354,"['https://res.glassesshop.com/products/201812/5c2436744ec7f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201812/5c2436744ec7f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201812/5c2436744d755.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201812/5c2436744def3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201812/5c2436744e560.jpg?im=Resize,width=1000,height=500']"
Pisces,$19.95,https://www.glassesshop.com/eyeglasses/fp2611,"['https://res.glassesshop.com/products/202208/62f9e3e5aa137.jpg?im=Resize,width=1000,height=500', 'https://d22qih3asjv3x0.cloudfront.net/products/media/fp2611/fp2611_cover.jpg', 'https://res.glassesshop.com/products/202208/62f9e3e5aa137.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e3e71c6cf.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e3e881780.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e3e9ce397.jpg?im=Resize,width=1000,height=500', 'https://d22qih3asjv3x0.cloudfront.net/products/media/fp2611/fp2611_cover.jpg']"
Jersey,$19.98,https://www.glassesshop.com/eyeglasses/fp2749,"['https://res.glassesshop.com/products/202306/648ff6f01c0bc.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f01c0bc.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f110316.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f1e64c7.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f2c2654.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f398eff.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f4d01d0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202306/648ff6f5bb921.jpg?im=Resize,width=1000,height=500']"
DesMoines,$19.95,https://www.glassesshop.com/eyeglasses/fp2683,"['https://res.glassesshop.com/products/202301/63d76dd0365d6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd0365d6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd1041c2.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd1b6b3a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202301/63d76dd2ac7b4.jpg?im=Resize,width=1000,height=500']"
